school,team,city,state,region,division,coach_name,coach_email,coach_phone,athletics_director_name,athletics_director_email,athletics_director_phone,school_team_site,source_urls,notes
West Yellowstone,,,MT,Montana,Class C 6-Man,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-c-6-man/?statedivisionid=f138340b-b102-4d09-9aa1-c4a87dddc11f&teamsize=8,
Heart Butte,,,MT,Montana,Class C 6-Man,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-c-6-man/?statedivisionid=f138340b-b102-4d09-9aa1-c4a87dddc11f&teamsize=8,
North Toole County,,Sunburst,MT,Montana,Class C 6-Man,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-c-6-man/?statedivisionid=f138340b-b102-4d09-9aa1-c4a87dddc11f&teamsize=8,
Valier,,,MT,Montana,Class C 6-Man,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-c-6-man/?statedivisionid=f138340b-b102-4d09-9aa1-c4a87dddc11f&teamsize=8,
Custer/Hysham/Melstone,,Custer,MT,Montana,Class C 6-Man,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-c-6-man/?statedivisionid=f138340b-b102-4d09-9aa1-c4a87dddc11f&teamsize=8 | https://apps.opi.mt.gov/OPIReportingCenter/frmCentralDirectory.aspx?GradeType=HS&ProcName=procCentralDirectorySchoolStaffByDistrict&ScreenMsg=Database+of+all+the+high+schools+in+Montana&ScreenTitle=High+School&ShowReport=1,OPI match: Custer High School; main school phone/email: (406)856-4117 supt@custerschools.org
Reed Point/Rapelje,,,MT,Montana,Class C 6-Man,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-c-6-man/?statedivisionid=f138340b-b102-4d09-9aa1-c4a87dddc11f&teamsize=8,
White Sulphur Springs,,,MT,Montana,Class C 6-Man,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-c-6-man/?statedivisionid=f138340b-b102-4d09-9aa1-c4a87dddc11f&teamsize=8,
St. Patrick's Academy,,,MT,Montana,Class C 6-Man,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-c-6-man/?statedivisionid=f138340b-b102-4d09-9aa1-c4a87dddc11f&teamsize=8,
Broadview/Lavina,,Broadview,MT,Montana,Class C 6-Man,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-c-6-man/?statedivisionid=f138340b-b102-4d09-9aa1-c4a87dddc11f&teamsize=8 | https://apps.opi.mt.gov/OPIReportingCenter/frmCentralDirectory.aspx?GradeType=HS&ProcName=procCentralDirectorySchoolStaffByDistrict&ScreenMsg=Database+of+all+the+high+schools+in+Montana&ScreenTitle=High+School&ShowReport=1,OPI match: Broadview High School; main school phone/email: (406)667-2337 chad_f@broadviewschools.org
Powder River County,,,MT,Montana,Class C 6-Man,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-c-6-man/?statedivisionid=f138340b-b102-4d09-9aa1-c4a87dddc11f&teamsize=8,
Froid/Medicine Lake,,,MT,Montana,Class C 6-Man,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-c-6-man/?statedivisionid=f138340b-b102-4d09-9aa1-c4a87dddc11f&teamsize=8,
Alberton,,,MT,Montana,Class C 6-Man,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-c-6-man/?statedivisionid=f138340b-b102-4d09-9aa1-c4a87dddc11f&teamsize=8,
Bridger,,,MT,Montana,Class C 6-Man,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-c-6-man/?statedivisionid=f138340b-b102-4d09-9aa1-c4a87dddc11f&teamsize=8,
Plenty Coups,,,MT,Montana,Class C 6-Man,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-c-6-man/?statedivisionid=f138340b-b102-4d09-9aa1-c4a87dddc11f&teamsize=8,
Hays-Lodge Pole,,,MT,Montana,Class C 6-Man,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-c-6-man/?statedivisionid=f138340b-b102-4d09-9aa1-c4a87dddc11f&teamsize=8,
Brockton,,,MT,Montana,Class C 6-Man,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-c-6-man/?statedivisionid=f138340b-b102-4d09-9aa1-c4a87dddc11f&teamsize=8,
Fromberg,,,MT,Montana,Class C 6-Man,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-c-6-man/?statedivisionid=f138340b-b102-4d09-9aa1-c4a87dddc11f&teamsize=8,
